Year,Ethnicity,Sex,Cause of Death
2010,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE
2010,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA
2010,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE)
2010,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS
2010,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL
2010,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS"
2010,NON-HISPANIC BLACK,MALE,PEPTIC ULCER
2010,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING
2010,NON-HISPANIC BLACK,MALE,SEPTICEMIA
2010,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW
2010,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS
2010,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING
2010,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE
2010,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION
2010,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS
2010,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS
2010,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE
2010,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER
2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS
2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES
2010,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS"
2010,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS
2010,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART
2010,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES
2010,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE
2010,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA
2010,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE)
2010,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS
2010,NON-HISPANIC WHITE,FEMALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL
2010,NON-HISPANIC WHITE,FEMALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS"
2010,NON-HISPANIC WHITE,FEMALE,PARKINSONS DISEASE
2010,NON-HISPANIC WHITE,FEMALE,PEPTIC ULCER
2010,NON-HISPANIC WHITE,FEMALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING
2010,NON-HISPANIC WHITE,FEMALE,SEPTICEMIA
2010,NON-HISPANIC WHITE,FEMALE,SHORT GESTATION/LBW
2010,NON-HISPANIC WHITE,FEMALE,VIRAL HEPATITIS
2010,NON-HISPANIC WHITE,MALE,ACCIDENTS EXCEPT DRUG POISONING
2010,NON-HISPANIC WHITE,MALE,ALZHEIMERS DISEASE
2010,NON-HISPANIC WHITE,MALE,AORTIC ANEURYSM AND DISSECTION
2010,NON-HISPANIC WHITE,MALE,ASSAULT (HOMICIDE)
2010,NON-HISPANIC WHITE,MALE,ATHEROSCLEROSIS
2010,NON-HISPANIC WHITE,MALE,BENIGN AND UNCERTAIN NEOPLASMS
2010,NON-HISPANIC WHITE,MALE,CEREBROVASCULAR DISEASE
2010,NON-HISPANIC WHITE,MALE,CHRONIC LIVER DISEASE AND CIRRHOSIS
2011,HISPANIC,MALE,ASSAULT (HOMICIDE)
2010,NON-HISPANIC WHITE,MALE,CHRONIC LOWER RESPIRATORY DISEASES
2010,NON-HISPANIC WHITE,MALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS"
2010,NON-HISPANIC WHITE,MALE,DIABETES MELLITUS
2010,NON-HISPANIC WHITE,MALE,DISEASES OF HEART
2010,NON-HISPANIC WHITE,MALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES
2010,NON-HISPANIC WHITE,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE
2010,NON-HISPANIC WHITE,MALE,INFLUENZA AND PNEUMONIA
2010,NON-HISPANIC WHITE,MALE,INTENTIONAL SELF-HARM (SUICIDE)
2010,NON-HISPANIC WHITE,MALE,MALIGNANT NEOPLASMS
2010,NON-HISPANIC WHITE,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL
2010,NON-HISPANIC WHITE,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS"
2010,NON-HISPANIC WHITE,MALE,PARKINSONS DISEASE
2010,NON-HISPANIC WHITE,MALE,PEPTIC ULCER
2010,NON-HISPANIC WHITE,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING
2010,NON-HISPANIC WHITE,MALE,SEPTICEMIA
2010,NON-HISPANIC WHITE,MALE,SHORT GESTATION/LBW
2010,NON-HISPANIC WHITE,MALE,VIRAL HEPATITIS
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ACCIDENTS EXCEPT DRUG POISONING
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ALZHEIMERS DISEASE
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ANEMIAS
2011,ASIAN & PACIFIC ISLANDER,FEMALE,ASSAULT (HOMICIDE)
2011,ASIAN & PACIFIC ISLANDER,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CEREBROVASCULAR DISEASE
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS
2011,ASIAN & PACIFIC ISLANDER,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES
2011,ASIAN & PACIFIC ISLANDER,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS"
2011,ASIAN & PACIFIC ISLANDER,FEMALE,DIABETES MELLITUS
2011,ASIAN & PACIFIC ISLANDER,FEMALE,DISEASES OF HEART
